koda_letalisce,ime
BYK,Bouaké Airport
DJO,Daloa Airport
HGO,Korhogo Airport
MJC,Man Airport
SPY,San Pedro Airport
ASK,Yamoussoukro Airport
ABV,Nnamdi Azikiwe International Airport
AKR,Akure Airport
BNI,Benin Airport
CBQ,Margaret Ekpo International Airport
ENU,Akanu Ibiam International Airport
IBA,Ibadan Airport
ILR,Ilorin International Airport
JOS,Yakubu Gowon Airport
KAD,Kaduna Airport
KAN,Mallam Aminu International Airport
MIU,Maiduguri International Airport
MDI,Makurdi Airport
LOS,Murtala Muhammed International Airport
MXJ,Minna Airport
PHC,Port Harcourt International Airport
SKO,Sadiq Abubakar III International Airport
YOL,Yola Airport
ZAR,Zaria Airport
MFQ,Maradi Airport
NIM,Diori Hamani International Airport
THZ,Tahoua Airport
AJY,Mano Dayak International Airport
ZND,Zinder Airport
MIR,Monastir Habib Bourguiba International Airport
TUN,Tunis Carthage International Airport
GAF,Gafsa Ksar International Airport
GAE,Gabès Matmata International Airport
DJE,Djerba Zarzis International Airport
EBM,El Borma Airport
SFA,Sfax Thyna International Airport
TOE,Tozeur Nefta International Airport
LRL,Niamtougou International Airport
LFW,Lomé-Tokoin Airport
ANR,Antwerp International Airport (Deurne)
BRU,Brussels Airport
CRL,Brussels South Charleroi Airport
KJK,Wevelgem Airport
LGG,Liège Airport
OST,Ostend-Bruges International Airport
OBL,Zoersel (Oostmalle) Airfield
AOC,Altenburg-Nobitz Airport
IES,Riesa-Göhlis Airport
REB,Rechlin-Lärz Airport
QXH,Schönhagen Airport
BBH,Barth Airport
ZMG,"Magdeburg ""City"" Airport"
CBU,Cottbus-Drewitz Airport
SXF,Berlin-Schönefeld Airport
DRS,Dresden Airport
ERF,Erfurt Airport
FRA,Frankfurt am Main Airport
FMO,Münster Osnabrück Airport
HAM,Hamburg Airport
THF,Berlin-Tempelhof International Airport
CGN,Cologne Bonn Airport
DUS,Düsseldorf Airport
MUC,Munich Airport
NUE,Nuremberg Airport
LEJ,Leipzig/Halle Airport
SCN,Saarbrücken Airport
STR,Stuttgart Airport
TXL,Berlin-Tegel Airport
HAJ,Hannover Airport
BRE,Bremen Airport
QEF,Frankfurt-Egelsbach Airport
HHN,Frankfurt-Hahn Airport
MHG,Mannheim-City Airport
EIB,Eisenach-Kindel Airport
SGE,Siegerland Airport
XFW,Hamburg-Finkenwerder Airport
KEL,Kiel-Holtenau Airport
LBC,Lübeck Blankensee Airport
ESS,Essen Mulheim Airport
BFE,Bielefeld Airport
MGL,Mönchengladbach Airport
PAD,Paderborn Lippstadt Airport
DTM,Dortmund Airport
AGB,Augsburg Airport
OBF,Oberpfaffenhofen Airport
RBM,Straubing Airport
FDH,Friedrichshafen Airport
SZW,Schwerin Parchim Airport
BYU,Bayreuth Airport
URD,Burg Feuerstein Airport
HOQ,Hof-Plauen Airport
ZQW,Zweibrücken Airport
ZQL,Donaueschingen-Villingen Airport
BWE,Braunschweig-Wolfsburg Airport
KSF,Kassel-Calden Airport
BRV,Bremerhaven Airport
EME,Emden Airport
WVN,Wilhelmshaven-Mariensiel Airport
BMK,Borkum Airport
NRD,Norderney Airport
FLF,Flensburg-Schäferhaus Airport
GWT,Westerland Sylt Airport
KDL,Kärdla Airport
URE,Kuressaare Airport
EPU,Pärnu Airport
TLL,Lennart Meri Tallinn Airport
TAY,Tartu Airport
ENF,Enontekio Airport
KEV,Halli Airport
HEM,Helsinki Malmi Airport
HEL,Helsinki Vantaa Airport
HYV,Hyvinkää Airfield
KTQ,Kitee Airport
IVL,Ivalo Airport
JOE,Joensuu Airport
JYV,Jyvaskyla Airport
KAU,Kauhava Airport
KEM,Kemi-Tornio Airport
KAJ,Kajaani Airport
KHJ,Kauhajoki Airport
KOK,Kokkola-Pietarsaari Airport
KAO,Kuusamo Airport
KTT,Kittilä Airport
KUO,Kuopio Airport
QLF,Lahti Vesivehmaa Airport
LPP,Lappeenranta Airport
MHQ,Mariehamn Airport
MIK,Mikkeli Airport
OUL,Oulu Airport
POR,Pori Airport
RVN,Rovaniemi Airport
SVL,Savonlinna Airport
SOT,Sodankyla Airport
TMP,Tampere-Pirkkala Airport
TKU,Turku Airport
UTI,Utti Air Base
VAA,Vaasa Airport
VRK,Varkaus Airport
YLI,Ylivieska Airfield
BFS,Belfast International Airport
ENK,St Angelo Airport
BHD,George Best Belfast City Airport
LDY,City of Derry Airport
BHX,Birmingham International Airport
CVT,Coventry Airport
GLO,Gloucestershire Airport
GBA,Cotswold Airport
MAN,Manchester Airport
NQY,Newquay Cornwall Airport
LYE,RAF Lyneham
YEO,RNAS Yeovilton
HAW,Haverfordwest Airport
CWL,Cardiff International Airport
SWS,Swansea Airport
BRS,Bristol Airport
LPL,Liverpool John Lennon Airport
LTN,London Luton Airport
PLH,Plymouth City Airport
BOH,Bournemouth Airport
SOU,Southampton Airport
QLA,Lasham Airport
ACI,Alderney Airport
GCI,Guernsey Airport
JER,Jersey Airport
ESH,Shoreham Airport
BQH,London Biggin Hill Airport
LGW,London Gatwick Airport
LCY,London City Airport
FAB,Farnborough Airport
BBS,Blackbushe Airport
LHR,London Heathrow Airport
SEN,Southend Airport
LYX,Lydd Airport
MSE,Kent International Airport
CAX,Carlisle Airport
BLK,Blackpool International Airport
HUY,Humberside Airport
BWF,Barrow Walney Island Airport
LBA,Leeds Bradford Airport
WRT,Warton Airport
CEG,Hawarden Airport
IOM,Isle of Man Airport
NCL,Newcastle Airport
MME,Durham Tees Valley Airport
EMA,East Midlands Airport
KOI,Kirkwall Airport
LSI,Sumburgh Airport
WIC,Wick Airport
ABZ,Aberdeen Dyce Airport
INV,Inverness Airport
GLA,Glasgow International Airport
EDI,Edinburgh Airport
ILY,Islay Airport
PIK,Glasgow Prestwick Airport
BEB,Benbecula Airport
SCS,Scatsta Airport
DND,Dundee Airport
SYY,Stornoway Airport
TRE,Tiree Airport
ADX,RAF Leuchars
LMO,RAF Lossiemouth
CBG,Cambridge Airport
NWI,Norwich International Airport
STN,London Stansted Airport
EXT,Exeter International Airport
FZO,Bristol Filton Airport
OXF,Oxford (Kidlington) Airport
BEX,RAF Benson
LKZ,RAF Lakenheath
MHZ,RAF Mildenhall
QUY,RAF Wyton
FFD,RAF Fairford
BZZ,RAF Brize Norton
ODH,RAF Odiham
NHT,RAF Northolt
QCY,RAF Coningsby
BEQ,RAF Honington
SQZ,RAF Scampton
HRT,RAF Linton-On-Ouse
WTN,RAF Waddington
KNF,RAF Marham
MPN,Mount Pleasant Airport
AMS,Amsterdam Airport Schiphol
MST,Maastricht Aachen Airport
EIN,Eindhoven Airport
GRQ,Eelde Airport
GLZ,Gilze Rijen Air Base
DHR,De Kooy Airport
LEY,Lelystad Airport
LWR,Leeuwarden Air Base
RTM,Rotterdam The Hague Airport
UTC,Soesterberg Air Base
ENS,Twente Airport
LID,Valkenburg Naval Air Base
WOE,Woensdrecht Air Base
ORK,Cork Airport
GWY,Galway Airport
DUB,Dublin Airport
NOC,Ireland West Knock Airport
KIR,Kerry Airport
SNN,Shannon Airport
SXL,Sligo Airport
WAT,Waterford Airport
AAR,Aarhus Airport
BLL,Billund Airport
CPH,Copenhagen Kastrup Airport
EBJ,Esbjerg Airport
KRP,Karup Airport
BYR,Læsø Airport
MRW,Lolland Falster Maribo Airport
ODE,Odense Airport
RKE,Copenhagen Roskilde Airport
RNN,Bornholm Airport
SGD,Sønderborg Airport
SKS,Skrydstrup Air Base
SQW,Skive Airport
TED,Thisted Airport
FAE,Vagar Airport
STA,Stauning Airport
AAL,Aalborg Airport
LUX,Luxembourg-Findel International Airport
AES,Ålesund Airport
ANX,Andøya Airport
ALF,Alta Airport
BNN,Brønnøysund Airport
BOO,Bodø Airport
BGO,Bergen Airport Flesland
BJF,Båtsfjord Airport
KRS,Kristiansand Airport
DLD,Geilo Airport Dagali
BDU,Bardufoss Airport
EVE,"Harstad/Narvik Airport, Evenes"
VDB,Leirin Airport
FRO,Florø Airport
OSL,Oslo Lufthavn
HAU,Haugesund Airport
HAA,Hasvik Airport
KSU,Kristiansund Airport (Kvernberget)
KKN,Kirkenes Airport (Høybuktmoen)
FAN,Lista Airport
MOL,Molde Airport
MJF,Mosjøen Airport (Kjærstad)
LKL,Banak Airport
NTB,Notodden Airport
OLA,Ørland Airport
RRS,Røros Airport
RYG,"Moss Airport, Rygge"
LYR,"Svalbard Airport, Longyear"
SKE,Skien Airport
SRP,Stord Airport
SSJ,Sandnessjøen Airport (Stokka)
TOS,"Tromsø Airport,"
TRF,"Sandefjord Airport, Torp"
TRD,Trondheim Airport Værnes
SVG,Stavanger Airport Sola
GDN,Gdańsk Lech Wałęsa Airport
KRK,Kraków John Paul II International Airport
KTW,Katowice International Airport
POZ,Poznań-Ławica Airport
RZE,Rzeszów-Jasionka Airport
SZZ,"Szczecin-Goleniów ""Solidarność"" Airport"
OSP,Redzikowo Air Base
WAW,Warsaw Chopin Airport
WRO,Copernicus Wrocław Airport
IEG,Zielona Góra-Babimost Airport
RNB,Ronneby Airport
GOT,Gothenburg-Landvetter Airport
JKG,Jönköping Airport
LDK,Lidköping-Hovby Airport
GSE,Gothenburg City Airport
KVB,Skövde Airport
THN,Trollhättan-Vänersborg Airport
KSK,Karlskoga Airport
MXX,Mora Airport
NYO,Stockholm Skavsta Airport
KID,Kristianstad Airport
OSK,Oskarshamn Airport
KLR,Kalmar Airport
MMX,Malmö Sturup Airport
HAD,Halmstad Airport
VXO,Växjö Kronoberg Airport
EVG,Sveg Airport
GEV,Gällivare Airport
HUV,Hudiksvall Airport
KRF,Kramfors Sollefteå Airport
LYC,Lycksele Airport
SDL,Sundsvall-Härnösand Airport
OER,Örnsköldsvik Airport
KRN,Kiruna Airport
SFT,Skellefteå Airport
UME,Umeå Airport
VHM,Vilhelmina Airport
AJR,Arvidsjaur Airport
ORB,Örebro Airport
VST,Stockholm Västerås Airport
LLA,Luleå Airport
ARN,Stockholm-Arlanda Airport
BMA,Stockholm-Bromma Airport
BLE,Borlange Airport
HLF,Hultsfred Airport
GVX,Gävle Sandviken Airport
LPI,Linköping City Airport
NRK,Norrköping Airport
EKT,Eskilstuna Airport
VBY,Visby Airport
SPM,Spangdahlem Air Base
RMS,Ramstein Air Base
GHF,[Duplicate] Giebelstadt Army Air Field
ZCN,Celle Airport
FRZ,Fritzlar Airport
ZNF,Hanau Army Air Field
KZG,Flugplatz Kitzingen
FCN,Nordholz Naval Airbase
GKE,Geilenkirchen Air Base
RLG,Rostock-Laage Airport
WBG,Schleswig Air Base
WIE,Wiesbaden Army Airfield
FEL,Fürstenfeldbruck Air Base
IGS,Ingolstadt Manching Airport
GUT,Gütersloh Air Base
ALJ,Alexander Bay Airport
AGZ,Aggeneys Airport
BIY,Bisho Airport
BFN,Bram Fischer International Airport
CPT,Cape Town International Airport
DUR,King Shaka International Airport
ELS,Ben Schoeman Airport
FCB,Ficksburg Sentraoes Airport
GCJ,Grand Central Airport
GRJ,George Airport
HRS,Harrismith Airport
HDS,Hoedspruit Air Force Base Airport
JNB,OR Tambo International Airport
KXE,P C Pelser Airport
KIM,Kimberley Airport
KMH,Johan Pienaar Airport
KLZ,Kleinsee Airport
HLA,Lanseria Airport
SDB,Langebaanweg Airport
LAY,Ladysmith Airport
MGH,Margate Airport
LLE,Riverside Airport
MZQ,Mkuze Airport
NCS,Newcastle Airport
OVG,Overberg Airport
OUH,Oudtshoorn Airport
PLZ,Port Elizabeth Airport
PBZ,Plettenberg Bay Airport
PHW,Hendrik Van Eck Airport
JOH,Port St Johns Airport
PZB,Pietermaritzburg Airport
NTY,Pilanesberg International Airport
PTG,Polokwane International Airport
PCF,Potchefstroom Airport
UTW,Queenstown Airport
RCB,Richards Bay Airport
ROD,Robertson Airport
SBU,Springbok Airport
ZEC,Secunda Airport
SIS,Sishen Airport
SZK,Skukuza Airport
LTA,Tzaneen Airport
ULD,Prince Mangosuthu Buthelezi Airport
UTN,Pierre Van Ryneveld Airport
UTT,K. D. Matanzima Airport
VRU,Vryburg Airport
VIR,Virginia Airport
VRE,Vredendal Airport
PRY,Wonderboom Airport
WKF,Waterkloof Air Force Base
FRW,Francistown Airport
JWA,Jwaneng Airport
BBK,Kasane Airport
MUB,Maun Airport
GBE,Sir Seretse Khama International Airport
PKW,Selebi Phikwe Airport
BZV,Maya-Maya Airport
FTX,Owando Airport
OUE,Ouesso Airport
PNR,Pointe Noire Airport
MTS,Matsapha Airport
BGF,Bangui M'Poko International Airport
BBT,Berbérati Airport
BSG,Bata Airport
SSG,Malabo Airport
ASI,RAF Ascension Island
MRU,Sir Seewoosagur Ramgoolam International Airport
RRG,Sir Charles Gaetan Duval Airport
NKW,Diego Garcia Naval Support Facility
TKC,Tiko Airport
DLA,Douala International Airport
MVR,Salak Airport
FOM,Foumban Nkounja Airport
NGE,N'Gaoundéré Airport
GOU,Garoua International Airport
BFX,Bafoussam Airport
BPC,Bamenda Airport
YAO,Yaoundé Airport
CGJ,Kasompe Airport
LVI,Livingstone Airport
LUN,Kenneth Kaunda International Airport Lusaka
MFU,Mfuwe Airport
MNR,Mongu Airport
NLA,Simon Mwansa Kapwepwe International Airport
KIW,Southdowns Airport
HAH,Prince Said Ibrahim International Airport
NWA,Mohéli Bandar Es Eslam Airport
AJN,Ouani Airport
DZA,Dzaoudzi Pamandzi International Airport
RUN,Roland Garros Airport
ZSE,Pierrefonds Airport
TNR,Ivato Airport
ZVA,Miandrivazo Airport
SMS,Sainte Marie Airport
TMM,Toamasina Airport
MOQ,Morondava Airport
DIE,Arrachart Airport
WMR,Mananara Nord Airport
ZWA,Andapa Airport
AMB,Ambilobe Airport
ANM,Antsirabato Airport
HVA,Analalava Airport
MJN,Amborovy Airport
NOS,Fascene Airport
BPY,Besalampy Airport
WMN,Maroantsetra Airport
SVB,Sambava Airport
VOH,Vohimarina Airport
WAI,Ambalabe Airport
IVA,Ampampamena Airport
FTU,Tôlanaro Airport
WFI,Fianarantsoa Airport
RVA,Farafangana Airport
WVK,Manakara Airport
MNJ,Mananjary Airport
MXM,Morombe Airport
TLE,Toliara Airport
SSY,Mbanza Congo Airport
BUG,Benguela Airport
CAB,Cabinda Airport
NOV,Nova Lisboa Airport
SVP,Kuito Airport
LAD,Quatro de Fevereiro Airport
MEG,Malanje Airport
SPP,Menongue Airport
GXG,Negage Airport
PBN,Porto Amboim Airport
VHC,Saurimo Airport
SZA,Soyo Airport
SDD,Lubango Airport
LUO,Luena Airport
UGO,Uige Airport
XGN,Xangongo Airport
OYE,Oyem Airport
OKN,Okondja Airport
LBQ,Lambarene Airport
BMM,Bitam Airport
POG,Port Gentil Airport
OMB,Omboue Hopital Airport
MKU,Makokou Airport
LBV,Libreville Leon M'ba International Airport
MVB,M'Vengue El Hadj Omar Bongo Ondimba International Airport
PCP,Principe Airport
TMS,São Tomé International Airport
BEW,Beira Airport
INH,Inhambane Airport
VXC,Lichinga Airport
LFB,Lumbo Airport
MPM,Maputo Airport
MUD,Mueda Airport
MZB,Mocímboa da Praia Airport
MNC,Nacala Airport
APL,Nampula Airport
POL,Pemba Airport
UEL,Quelimane Airport
TET,Chingozi Airport
VNX,Vilankulo Airport
DES,Desroches Airport
SEZ,Seychelles International Airport
PRI,Praslin Airport
AEH,Abeche Airport
MQQ,Moundou Airport
NDJ,N'Djamena International Airport
FYT,Faya Largeau Airport
BUQ,Joshua Mqabuko Nkomo International Airport
BFO,Buffalo Range Airport
VFA,Victoria Falls International Airport
HRE,Robert Gabriel Mugabe International Airport
KAB,Kariba International Airport
UTA,Mutare Airport
MVZ,Masvingo International Airport
GWE,Thornhill Air Base
HWN,Hwange National Park Airport
BLZ,Chileka International Airport
KGJ,Karonga Airport
KBQ,Kasungu Airport
LLW,Lilongwe International Airport
ZZU,Mzuzu Airport
MSU,Moshoeshoe I International Airport
FIH,Ndjili International Airport
NLO,Ndolo Airport
MNB,Muanda Airport
FDU,Bandundu Airport
KKW,Kikwit Airport
MDK,Mbandaka Airport
BDT,Gbadolite Airport
GMA,Gemena Airport
KLI,Kotakoli Airport
LIQ,Lisala Airport
FKI,Bangoka International Airport
IRP,Matari Airport
BUX,Bunia Airport
BZU,Buta Zega Airport
BKY,Bukavu Kavumu Airport
GOM,Goma International Airport
KND,Kindu Airport
FBM,Lubumbashi International Airport
KWZ,Kolwezi Airport
FMI,Kalemie Airport
KMN,Kamina Base Airport
KGA,Kananga Airport
MJM,Mbuji Mayi Airport
BKO,Modibo Keita International Airport
GAQ,Gao Airport
KYS,Kayes Dag Dag Airport
MZI,Mopti Airport
TOM,Timbuktu Airport
BJL,Banjul International Airport
FUE,Fuerteventura Airport
VDE,Hierro Airport
SPC,La Palma Airport
LPA,Gran Canaria Airport
ACE,Lanzarote Airport
TFS,Tenerife South Airport
TFN,Tenerife Norte Airport
MLN,Melilla Airport
FNA,Lungi International Airport
MLW,Spriggs Payne Airport
ROB,Roberts International Airport
AGA,Al Massira Airport
TTA,Tan Tan Airport
FEZ,Saïss Airport
ERH,Moulay Ali Cherif Airport
MEK,Bassatine Airport
OUD,Angads Airport
GMD,Ben Slimane Airport
RBA,Rabat-Salé Airport
CMN,Mohammed V International Airport
RAK,Menara Airport
NNA,Kenitra Airport
OZZ,Ouarzazate Airport
AHU,Cherif Al Idrissi Airport
TTU,Saniat R'mel Airport
TNG,Ibn Batouta Airport
ZIG,Ziguinchor Airport
CSK,Cap Skirring Airport
KLC,Kaolack Airport
DKR,Léopold Sédar Senghor International Airport
XLS,Saint Louis Airport
BXE,Bakel Airport
KGG,Kédougou Airport
TUD,Tambacounda Airport
AEO,Aioun el Atrouss Airport
TIY,Tidjikja Airport
KFA,Kiffa Airport
EMN,Néma Airport
KED,Kaédi Airport
NKC,Nouakchott–Oumtounsy International Airport
SEY,Sélibaby Airport
ATR,Atar International Airport
NDB,Nouadhibou International Airport
FIG,Fria Airport
FAA,Faranah Airport
LEK,Tata Airport
SID,Amílcar Cabral International Airport
BVC,Rabil Airport
MMO,Maio Airport
SNE,Preguiça Airport
VXE,São Pedro Airport
ADD,Addis Ababa Bole International Airport
AMH,Arba Minch Airport
AXU,Axum Airport
BJR,Bahir Dar Airport
DIR,Aba Tenna Dejazmach Yilma International Airport
GMB,Gambella Airport
GDQ,Gonder Airport
JIM,Jimma Airport
LLI,Lalibella Airport
MQX,Mekele Airport
ASO,Asosa Airport
BJM,Bujumbura International Airport
HGA,Egal International Airport
BBO,Berbera Airport
KMU,Kisimayu Airport
ALY,El Nouzha Airport
ABS,Abu Simbel Airport
CAI,Cairo International Airport
CWE,Cairo West Airport
HRG,Hurghada International Airport
EGH,El Gora Airport
LXR,Luxor International Airport
MUH,Mersa Matruh Airport
PSD,Port Said Airport
SKV,St Catherine International Airport
ASW,Aswan International Airport
ELT,El Tor Airport
EDL,Eldoret International Airport
GGM,Kakamega Airport
KIS,Kisumu Airport
KTL,Kitale Airport
LOK,Lodwar Airport
LAU,Manda Airstrip
MBA,Mombasa Moi International Airport
WIL,Nairobi Wilson Airport
WJR,Wajir Airport
GHT,Ghat Airport
AKF,Kufra Airport
BEN,Benina International Airport
SEB,Sabha Airport
TIP,Tripoli International Airport
LMQ,Marsa Brega Airport
HUQ,Hon Airport
LTD,Ghadames East Airport
GYI,Gisenyi Airport
KGL,Kigali International Airport
KME,Kamembe Airport
DOG,Dongola Airport
RSS,Damazin Airport
ELF,El Fasher Airport
KSL,Kassala Airport
KDX,Kadugli Airport
EBD,El Obeid Airport
JUB,Juba International Airport
MAK,Malakal Airport
KRT,Khartoum International Airport
ARK,Arusha Airport
DAR,Julius Nyerere International Airport
DOD,Dodoma Airport
IRI,Iringa Airport
JRO,Kilimanjaro International Airport
LKY,Lake Manyara Airport
MYW,Mtwara Airport
MWZ,Mwanza Airport
PMA,Pemba Airport
TGT,Tanga Airport
ZNZ,Abeid Amani Karume International Airport
EBB,Entebbe International Airport
SRT,Soroti Airport
TIA,Tirana International Airport Mother Teresa
BOJ,Burgas Airport
GOZ,Gorna Oryahovitsa Airport
PDV,Plovdiv International Airport
SOF,Sofia Airport
SZR,Stara Zagora Airport
VAR,Varna Airport
LCA,Larnaca International Airport
PFO,Paphos International Airport
AKT,RAF Akrotiri
DBV,Dubrovnik Airport
OSI,Osijek Airport
PUY,Pula Airport
RJK,Rijeka Airport
SPU,Split Airport
ZAG,Zagreb Airport
