let,karta
IG999,0.047
II989,0.981
GG979,0.528
II686,0.19
IH879,0.325
IG989,0.198
II999,0.894
GI888,0.149
IG889,0.694
HI999,0.626
IG899,0.423
FI999,0.978
II978,0.51
II989,0.775
II997,0.367
HG999,0.802
II475,0.466
GI998,0.842
GI999,0.784
II998,0.916
HD872,0.771
II999,0.547
GI999,0.883
GI779,0.749
IG859,0.106
IF999,0.931
II989,0.706
FI979,0.951
HG998,0.581
GI794,0.004
HI999,0.972
GG897,0.657
GE799,0.641
HI999,0.245
GH989,0.185
GI897,0.103
II999,0.337
FI787,0.599
GI883,0.039
FF889,0.272
EI799,0.278
FD988,0.249
GG999,0.961
II999,0.28
HF994,0.081
HF979,0.745
IG986,0.733
II999,0.462
GH999,0.715
GI789,0.557
IH989,0.518
II998,0.32
GI788,0.269
IG999,0.872
II888,0.137
IE798,0.913
GH799,0.986
GG528,0.941
IG998,0.517
EG999,0.972
EI979,0.881
II969,0.067
IE687,0.287
II998,0.202
IE998,0.034
II479,0.135
HI894,0.466
GI988,0.546
II998,0.221
II298,0.409
GI996,0.084
HG489,0.207
II899,0.25
GE886,0.339
IG788,0.881
HH999,0.59
IH599,0.741
HI797,0.696
IH999,0.039
IG788,0.887
II688,0.743
HH996,0.117
IG879,0.407
HI779,0.967
FI999,0.392
IG979,0.832
IG989,0.931
II899,0.966
GD996,0.957
IG998,0.453
GI998,0.12
GI699,0.586
IG999,0.554
IC896,0.668
II889,0.72
HI898,0.352
GC899,0.276
II979,0.883
EI965,0.357
IH788,0.435
GI779,0.417
IF997,0.175
II778,0.182
HG788,0.135
DI897,0.379
HI979,0.546
HI688,0.988
DG985,0.561
IG962,0.97
II995,0.607
GI997,0.122
EI898,0.425
FI999,0.867
II958,0.318
IG598,0.202
FH798,0.906
GG879,0.931
IH695,0.549
GI969,0.536
HI899,0.217
GI989,0.765
IE998,0.63
IG978,0.367
HI296,0.439
II978,0.294
II299,0.408
GI698,0.75
FI579,0.44
II798,0.128
IG999,0.744
HG987,0.592
II989,0.262
GI899,0.683
II989,0.948
II946,0.764
IH774,0.444
HG698,0.033
HF984,0.527
CI699,0.901
II899,0.703
IG177,0.716
GC898,0.387
HI979,0.302
GI598,0.814
GF999,0.696
GH989,0.646
IF879,0.077
EI899,0.049
II998,0.21
GI797,0.133
IG989,0.518
IE988,0.608
IH999,0.195
GI886,0.831
IB999,0.366
HI698,0.14
HI979,0.767
II998,0.797
IG988,0.916
IF599,0.766
HI995,0.476
IG869,0.834
IG949,0.827
IF878,0.963
GI899,0.312
IH693,0.304
HI989,0.968
GI998,0.438
EI998,0.926
IG969,0.189
HI998,0.526
IH999,0.248
EI878,0.21
GI889,0.672
II976,0.109
HI985,0.071
GI899,0.553
II899,0.534
II998,0.02
II599,0.52
EF896,0.921
IF779,0.103
II859,0.598
HG799,0.537
FG978,0.634
GI999,0.196
IG997,0.749
IH697,0.183
EI997,0.92
II998,0.562
GH999,0.111
HI989,0.182
II699,0.873
IG998,0.83
IH896,0.052
GF798,0.673
II769,0.211
IG959,0.94
HH999,0.482
HI985,0.025
FI599,0.456
GI986,0.517
II799,0.209
GI897,0.85
GI989,0.387
IG989,0.945
II839,0.299
II899,0.717
HI997,0.091
IG987,0.652
GH999,0.991
II589,0.362
IG989,0.332
IF999,0.041
GI899,0.539
II899,0.488
IH838,0.039
II996,0.153
GH884,0.93
IG999,0.086
HI997,0.476
GI979,0.178
HI986,0.662
II898,0.554
GG869,0.48
DI999,0.536
GI793,0.667
GF989,0.268
II997,0.585
IG899,0.539
II897,0.381
GH997,0.683
II898,0.121
GG999,0.11
HG999,0.267
IF999,0.758
GI989,0.874
GI698,0.549
HI788,0.832
IG699,0.682
II698,0.596
IG897,0.804
IH899,0.502
II888,0.673
IF889,0.619
IH989,0.303
IH888,0.799
IG855,0.342
GG999,0.803
GG989,0.498
HH988,0.563
II989,0.404
GI798,0.956
II997,0.358
GI876,0.651
GG999,0.643
GI499,0.158
II999,0.987
II498,0.63
ID978,0.498
II849,0.302
GG788,0.591
GF997,0.015
HI989,0.205
GH889,0.142
GG999,0.073
II998,0.638
FG959,0.653
II796,0.375
IF926,0.384
HI879,0.163
GI999,0.39
HH988,0.271
HI989,0.739
GI999,0.793
DI778,0.797
GI918,0.722
DI974,0.791
II997,0.361
II998,0.848
HG688,0.69
IG898,0.207
GI889,0.889
GG996,0.742
HI899,0.981
GE889,0.28
GH799,0.739
GG998,0.079
HG989,0.775
II847,0.388
HI898,0.15
GI869,0.932
IF979,0.685
HB979,0.007
II999,0.456
HI999,0.98
II986,0.79
II989,0.35
IG999,0.147
IG899,0.854
II889,0.826
II987,0.162
IG899,0.687
GH668,0.297
IF998,0.61
IG976,0.395
ID999,0.752
II998,0.579
GG999,0.809
II999,0.39
GI887,0.868
HG898,0.609
II879,0.122
FI979,0.584
FI887,0.211
II999,0.801
IC798,0.041
GH479,0.54
DH999,0.426
GI889,0.655
II793,0.52
II988,0.535
II988,0.296
DI979,0.976
GH899,0.848
HG976,0.192
IE958,0.154
FI597,0.319
GE999,0.847
FI989,0.973
IG989,0.567
HH699,0.296
II999,0.434
CI999,0.244
GG998,0.25
IH999,0.945
GI999,0.278
GI786,0.757
HI999,0.525
GI999,0.222
GH776,0.815
II969,0.763
GA989,0.997
II883,0.226
FG989,0.515
II888,0.231
IG998,1.0
IH979,0.31
GI989,0.79
EI879,0.254
II997,0.512
HG989,0.917
EF787,0.242
IH488,0.083
EG899,0.934
II859,0.992
GI977,0.193
FG988,0.02
GI799,0.15
GG798,0.158
FI999,0.1
IH494,0.846
II879,0.882
IH789,0.59
II188,0.183
IG658,0.979
II998,0.432
II649,0.982
CH478,0.228
EI867,0.804
IH978,0.724
IH688,0.749
II867,0.732
IG787,0.32
IG349,0.513
II984,0.477
IH999,0.571
II949,0.469
IG987,0.387
GG197,0.25
IG849,0.669
II998,0.641
II999,0.925
HG782,0.288
GI779,0.906
IG749,0.546
IG997,0.731
II789,0.431
IF699,0.511
II968,0.88
II797,0.467
GH691,0.431
II989,0.14
GI798,0.615
II999,0.597
II499,0.653
IF878,0.582
II989,0.191
HG997,0.455
CI889,0.978
IG699,0.652
II967,0.208
GI889,0.428
II989,0.999
FI976,0.035
IG998,0.498
II998,0.49
GG978,0.864
II987,0.941
GI779,0.327
II749,0.71
EI999,0.046
II998,0.021
II998,0.792
HG999,0.75
GI738,0.663
IH499,0.008
GI966,0.811
IG997,0.531
II786,0.782
II879,0.715
GG947,0.783
II989,0.851
GI879,0.454
II261,0.405
HI999,0.533
GI967,0.298
HG699,0.524
HI999,0.12
IH999,0.792
IG997,0.8
IF578,0.143
II999,0.019
GI898,0.646
GI799,0.956
FI999,0.537
II888,0.495
GG769,0.128
II998,0.479
IG985,0.264
GH599,0.798
IG859,0.099
HF898,0.232
FI999,0.162
II886,0.087
IH999,0.384
GH999,0.51
GI979,0.688
IG799,0.363
GG981,0.299
II989,0.133
IG897,0.446
IH587,0.33
GH768,0.068
IH999,0.644
HH998,0.118
HI899,0.76
EG888,0.124
FI559,0.236
GG999,0.527
IG389,0.831
GI889,0.478
ID899,0.987
HH538,0.123
HI896,0.339
GG597,0.678
GF898,0.811
GI988,0.433
GG996,0.269
GI999,0.399
IH998,0.716
IH999,0.772
IG959,0.234
GG995,0.921
GH889,0.087
II987,0.053
HH899,0.759
GG894,0.052
AG688,0.061
IE989,0.905
IE998,0.525
II864,0.142
HI897,0.406
IH796,0.919
II889,0.42
II979,0.31
GI998,0.638
GI799,0.812
HI969,0.522
IG988,0.668
HI988,0.798
II999,0.15
GI989,0.492
IG988,0.875
IH697,0.619
II264,0.754
II996,0.63
IG969,0.664
IF789,0.797
IG999,0.333
IG988,0.707
GG987,0.437
GG389,0.213
FI798,0.163
II977,0.889
HG899,0.339
GI999,0.084
II899,0.002
GI989,0.643
GG976,0.209
FI998,0.114
II778,0.504
GH989,0.91
II738,0.999
HI999,0.955
FG686,0.68
HI588,0.2
II899,0.653
GG699,0.939
II989,0.308
IE949,0.979
II876,0.952
II989,0.803
FF979,0.649
DG899,0.706
GG396,0.702
II888,0.068
IA999,0.925
II989,0.836
II989,0.268
GI999,0.663
II997,0.88
GG876,0.465
II769,0.623
IG988,0.9
GF988,0.166
HI979,0.619
HH899,0.376
II879,0.717
HI989,0.685
IH998,0.931
IG999,0.257
GI389,0.424
HI799,0.323
IG896,0.82
II899,0.347
II797,0.844
GF887,0.254
HI899,0.474
II889,0.5
IG799,0.089
GI699,0.809
HI889,0.812
IG978,0.404
IF898,0.733
GG697,0.896
IH969,0.026
EG998,0.944
GI897,0.15
AI985,0.651
II798,0.627
FI999,0.873
IG919,0.211
HI999,0.861
IH979,0.991
II799,0.475
FI997,0.383
II685,0.583
GH679,0.113
GE998,0.237
GI898,0.114
HI798,0.479
GH779,0.632
HG989,0.902
II997,0.64
II997,0.689
IA999,0.386
GI878,0.134
HG999,0.45
II654,0.785
IG899,0.01
IH977,0.786
GF998,0.076
IH799,0.444
HH999,0.311
IF999,0.208
II775,0.117
GI891,0.475
II988,0.57
GI997,0.365
IG879,0.037
FI888,0.8
GE687,0.484
HI479,0.879
HI995,0.147
GE989,0.388
IG978,0.917
HI699,0.971
GG898,0.242
EG894,0.659
HF597,0.693
HI998,0.885
II888,0.846
GG698,0.132
GI798,0.839
HI797,0.156
GF997,0.407
HH899,0.692
HI899,0.223
DG989,0.593
GI998,0.291
II989,0.971
GI969,0.92
IG988,0.955
GG986,0.523
HG998,0.91
IG499,0.705
II798,0.437
IG978,0.085
II989,0.058
GG789,0.846
GE898,0.965
IH998,0.621
CH989,0.681
IH869,0.757
IH467,0.504
II989,0.547
GI798,0.371
GF795,0.288
GG977,0.528
GI898,0.546
ID787,0.804
HI999,0.332
II896,0.916
HI997,0.672
HG999,0.332
II868,0.554
HH999,0.439
IG998,0.757
II977,0.687
DI778,0.637
II888,0.469
CI899,0.305
GG987,0.29
II787,0.169
IG999,0.718
II998,0.603
II799,0.586
II999,0.288
EF795,0.207
GI977,0.158
II889,0.188
II869,0.689
II998,0.635
II979,0.022
II989,0.029
DH977,0.097
II997,0.296
CI975,0.983
HI568,0.837
IG889,0.412
GG961,0.209
IG789,0.008
GG888,0.348
FH896,0.818
II868,0.153
HG988,0.163
GG678,0.088
FG799,0.007
FI999,0.808
HG699,0.928
II997,0.941
GG959,0.456
FH849,0.906
GI789,0.793
II989,0.835
GI999,0.916
EG968,0.78
FF878,0.963
IH889,0.443
II998,0.007
GG898,0.179
II999,0.462
GG947,0.314
IG999,0.757
IG798,0.347
GI995,0.399
IG976,0.274
IF996,0.911
IF889,0.022
GG897,0.98
GI949,0.413
FI999,0.729
GI893,0.861
II995,0.156
GI979,0.591
IG938,0.604
HI989,0.219
HI979,0.388
II899,0.664
IF148,0.168
GI899,0.49
GH779,0.369
